Date,Close,SMA_5,SMA_20
2010-02-17,1.360692262649536,1.36587495803833,1.3852474570274351
2010-02-18,1.3461486101150513,1.3614694356918335,1.3820698082447052
2010-02-19,1.3615074157714844,1.3610721588134769,1.3794398248195647
2010-02-22,1.3605626821517944,1.3611239671707154,1.3767175793647766
2010-02-23,1.3527040481567385,1.356323003768921,1.373941159248352
2010-02-24,1.354316234588623,1.3550477981567384,1.3715022146701812
2010-02-25,1.3536012172698977,1.3565383195877074,1.369342064857483
2010-02-26,1.3631035089492798,1.3568575382232666,1.3681625783443452
2010-03-01,1.356208086013794,1.3559866189956664,1.3663380086421966
2010-03-02,1.3620638847351074,1.3578585863113404,1.3645600020885469
2010-03-03,1.3701633214950562,1.361028003692627,1.3635629057884215
2010-03-04,1.3584003448486328,1.361987829208374,1.362758183479309
2010-03-05,1.3628991842269895,1.361946964263916,1.3625027537345886
2010-03-08,1.3616927862167358,1.3630439043045044,1.3623140275478365
2010-03-09,1.360692262649536,1.3627695798873902,1.361438250541687
2010-03-10,1.3643310070037842,1.3616031169891358,1.3608884692192078
2010-03-11,1.3685319423675537,1.36362943649292,1.3609062552452087
2010-03-12,1.376993179321289,1.3664482355117795,1.3615812242031098
2010-03-15,1.3677457571029663,1.367658829689026,1.361953330039978
2010-03-16,1.3768794536590576,1.3708962678909302,1.3619618594646454
2010-03-17,1.3738338947296145,1.372796845436096,1.3626189410686491
2010-03-18,1.361396312713623,1.37136971950531,1.363381326198578
2010-03-19,1.353692889213562,1.3667096614837646,1.3629905998706815
2010-03-22,1.356704831123352,1.3645014762878418,1.3627977073192596
2010-03-23,1.3468012809753418,1.3584858417510983,1.3625025689601895
2010-03-24,1.3331022262573242,1.3503395080566407,1.361441868543625
2010-03-25,1.3307074308395386,1.3442017316818238,1.360297179222107
2010-03-26,1.3410038948059082,1.341663932800293,1.3591921985149384
2010-03-29,1.3481086492538452,1.3399446964263917,1.358787226676941
2010-03-30,1.3424079418182373,1.3390660285949707,1.3578044295310974
2010-03-31,1.3508037328720093,1.3426063299179076,1.356836450099945
2010-04-01,1.3584003448486328,1.3481449127197265,1.356836450099945
2010-04-02,1.3504936695098877,1.3500428676605225,1.35621617436409
2010-04-05,1.34890878200531,1.3502028942108155,1.3555769741535186
2010-04-06,1.3401951789855957,1.3497603416442872,1.3545521199703217
2010-04-07,1.3348461389541626,1.3465688228607178,1.3530778765678406
2010-04-08,1.336112380027771,1.3421112298965454,1.3514568984508517
2010-04-09,1.350092530250549,1.3420310020446775,1.3501118659973144
2010-04-12,1.3596007823944092,1.3441694021224977,1.3497046172618865
2010-04-13,1.360858917236328,1.348302149772644,1.34890359044075
2010-04-14,1.3655978441238403,1.3544524908065794,1.3484917879104614
2010-04-15,1.3574045896530151,1.3587109327316282,1.348292201757431
2010-04-16,1.3504024744033811,1.3587729215621949,1.348127681016922
2010-04-19,1.348726749420166,1.3565981149673465,1.3477287769317627
2010-04-20,1.343508243560791,1.353127980232239,1.347564125061035
2010-04-21,1.3389928340911863,1.347806978225708,1.3478586554527283
2010-04-22,1.3269991874694824,1.3417258977890014,1.3476732432842256
2010-04-23,1.338401436805725,1.33932569026947,1.3475431203842163
2010-04-26,1.3401232957839966,1.3376049995422363,1.3471438527107238
2010-04-27,1.3170719146728516,1.3323177337646483,1.3458770513534546
2010-04-28,1.321283221244812,1.3287758111953736,1.3444010257720946
2010-04-29,1.3262951374053955,1.328635001182556,1.342795765399933
2010-04-30,1.3298048973083496,1.326915693283081,1.341761326789856
