,Linear Regression,Random Forest,LSTM
MAE,0.030550164011922874,0.04117429852803165,0.030214999330789857
RMSE,0.04005492922150383,0.05134325480010363,0.03981085317038541
R2,0.00463751638662635,-0.6354456769593577,0.009904015401803634
