,Linear Regression,Random Forest,LSTM
MAE,0.0181555782851444,0.022069132059871863,0.017791769228468927
RMSE,0.02409454068160594,0.02834368178702957,0.023759657604822886
R2,-0.018625758459206665,-0.40958048310744943,-0.0017921361546797687
