,Linear Regression,Random Forest,LSTM
MAE,0.008227215395978144,0.009924011808453039,0.008212949302108544
RMSE,0.011048886907781278,0.012735524201275173,0.01105569790815133
R2,0.006351252312689182,-0.3201688581037434,0.010751745386624267
