,Linear Regression,Random Forest,LSTM
MAE,0.027994802581804017,0.03694494359891373,0.027824547439129352
RMSE,0.03558893926764069,0.04614563064751106,0.03548845928224814
R2,0.0012020123800997595,-0.679224422359866,0.009489459980408843
