Date,Close,High,Low,Open,Volume,Ticker
2010-01-04,23.211441040039062,23.32393561889907,22.9414529064181,22.96395239436857,38409100,MSFT
2010-01-05,23.21893882751465,23.32393500473928,22.978950017480308,23.136443568094183,49749600,MSFT
2010-01-06,23.07644844055176,23.308937442371484,22.888956987047983,23.158943707389955,58182400,MSFT
2010-01-07,22.83645820617676,23.023949648163608,22.641466934856894,22.971450842832496,50559700,MSFT
2010-01-08,22.99394416809082,23.158936077858183,22.678958572756187,22.70895788204796,51197400,MSFT
2010-01-11,22.701459884643555,23.06894287041505,22.588965326623043,23.031443730777603,68754700,MSFT
2010-01-12,22.551469802856445,22.79895844236192,22.43147539766871,22.611467005450315,65912100,MSFT
2010-01-13,22.761457443237305,22.88895165916075,22.50646901139041,22.693960421251603,51863500,MSFT
2010-01-14,23.21893882751465,23.32393500473928,22.693963663176064,22.731461378326625,63228100,MSFT
2010-01-15,23.143945693969727,23.428932076555416,23.03144967646189,23.308937659630253,79913200,MSFT
2010-01-19,23.323936462402344,23.42893121574263,23.00895077193525,23.061448148605397,46575700,MSFT
2010-01-20,22.94145774841309,23.203946108117684,22.73146677456011,23.106449736867685,54849500,MSFT
2010-01-21,22.5064754486084,23.038950518296648,22.498975618415365,22.95645524706597,73086700,MSFT
2010-01-25,21.988996505737305,22.24398498612685,21.82400454861015,21.92899930037777,63373000,MSFT
2010-01-26,22.12398910522461,22.38647739764701,21.81650326938429,21.898999957688908,66639900,MSFT
2010-01-27,22.251487731933597,22.36398232792073,21.76401019569172,22.01149887904199,63949500,MSFT
2010-02-01,21.306520462036133,21.35901781994247,20.93903752624607,21.29152080822126,85931100,MSFT
2010-02-02,21.34402275085449,21.37402206492813,21.10403396004947,21.276527155080853,54413700,MSFT
2010-02-03,21.47150993347168,21.591505719969152,21.08902881758468,21.194023521518712,61397900,MSFT
2010-02-04,20.87904357910156,21.37402078818167,20.856544094890307,21.28402428178259,77850000,MSFT
2010-02-05,21.0140380859375,21.209029328721776,20.67655296757125,20.99903842946656,80960100,MSFT
2010-02-08,20.78905296325684,21.059041128508984,20.676558371217222,21.00654374758692,52820600,MSFT
2010-02-09,21.00654411315918,21.254032792131856,20.811552816022164,20.97654479185516,59195800,MSFT
2010-02-10,20.99154090881348,21.17903234397306,20.87904633380695,21.02154022505315,48591300,MSFT
2010-02-11,21.08903694152832,21.29902643028879,20.774051277941503,20.94654305240792,65993700,MSFT
2010-02-12,20.946542739868164,21.044037653845663,20.684054452388008,20.856546224280702,81117200,MSFT
2010-02-16,21.360952377319336,21.37602217696892,21.112306431641976,21.195187455444294,51935600,MSFT
2010-02-17,21.541793823242188,21.58700180218368,21.368495373020014,21.496585844300697,45882900,MSFT
