Date,Close,High,Low,Open,Volume,log_return,SMA_5,SMA_20,RSI_14,ATR_14,MACD,MACD_signal
2010-02-17,1.360692262649536,1.378872990608215,1.3592311143875122,1.3765382766723633,0,-0.01170218360079305,1.36587495803833,1.3852474570274353,33.28111258066549,0.013806761074754717,-0.02102302025746794,-0.023060860380275106
2010-02-18,1.3461486101150513,1.3653181791305542,1.3450260162353516,1.36106276512146,0,-0.010745953065451137,1.3614694356918335,1.3820698082447052,28.830597738138493,0.01431055223670143,-0.021756827843707027,-0.02280005387296149
2010-02-19,1.3615074157714844,1.3620080947875977,1.345695734024048,1.3470553159713743,0,0.011344846050983796,1.3610721588134767,1.3794398248195647,38.225462978380435,0.014465088119519175,-0.020858603389179775,-0.022411763776205147
2010-02-22,1.3605626821517944,1.3652995824813845,1.357717990875244,1.3628991842269895,0,-0.0006941288237528771,1.3611239671707154,1.3767175793647766,37.894098897692885,0.013936743351742565,-0.019992524764677277,-0.021927915973899575
2010-02-23,1.3527040481567385,1.3692628145217896,1.3497827053070068,1.360618233680725,0,-0.005792763300923249,1.356323003768921,1.3739411592483521,35.163446110473686,0.014359971585970315,-0.019713037673693146,-0.02148494031385829
2010-02-24,1.354316234588623,1.3621937036514282,1.3502929210662842,1.352685809135437,0,0.0011911152884733632,1.3550477981567384,1.3715022146701812,36.1794798257582,0.014173135184424807,-0.019140808839481993,-0.021016114018983033
2010-02-25,1.3536012172698977,1.356999397277832,1.3452069759368896,1.3544628620147705,0,-0.0005280938935947858,1.3565383195877074,1.369342064857483,35.91069915152497,0.013993079492545283,-0.018531390948195003,-0.020519169404825427
2010-02-26,1.3631035089492798,1.3678580522537231,1.3536012172698977,1.353747844696045,0,0.006995482680619629,1.3568575382232666,1.3681625783443452,42.070055264392145,0.01401294409665697,-0.017084725276059975,-0.01983228057907234
2010-03-01,1.356208086013794,1.365392804145813,1.3462574481964111,1.3642936944961548,0,-0.005071458325896351,1.3559866189956664,1.3663380086421966,39.13112457061784,0.014397242469377501,-0.0163066622596848,-0.019127156915194836
2010-03-02,1.3620638847351074,1.3623050451278689,1.3445197343826294,1.355968952178955,0,0.004308478211709109,1.3578585863113404,1.3645600020885467,42.78644228609125,0.01465051494282511,-0.01504410857666838,-0.018310547247489546
